{1, "ITEM_WAY_ACTIVITY", "活跃度添加物品"}.
{2, "ITEM_WAY_COPY_RESULT", "副本结算添加物品"}.
{3, "ITEM_WAY_WORSHIP", "膜拜"}.
{4, "ITEM_WAY_MILITARY_DAY", "军衔每日奖励"}.
{5, "ITEM_WAY_CHAPTER", "章节"}.
{6, "ITEM_WAY_GM", "GM"}.
{7, "ITEM_WAY_RECYCLE", "回收"}.
{8, "ITEM_WAY_LIKE", "点赞"}.
{9, "ITEM_WAY_BY_LIKE", "被点赞"}.
{10, "ITEM_WAY_SEVEN_DAYS_REWARDS", "七日登陆奖励"}.
{11, "ITEM_WAY_LEV_REWARDS", "等级奖励"}.
{12, "ITEM_WAY_SIGN", "签到奖励"}.
{13, "ITEM_WAY_ACCUMULATE_SINGN", "累积签到奖励"}.
{14, "ITEM_WAY_STORE", "商店"}.
{15, "ITEM_WAY_TASK_CAMP", "阵营任务"}.
{16, "ITEM_WAY_TASK_WANTED", "悬赏任务"}.
{17, "ITEM_WAY_TASK", "任务"}.
{18, "ITEM_WAY_DIE_MONSTER", "杀怪"}.
{19, "ITEM_WAY_ARCHAEOLOGY", "考古"}.
{20, "ITEM_WAY_DRAW", "抽奖"}.
{21, "ITEM_WAY_REVIVE", "复活"}.
{22, "ITEM_WAY_REVENGE", "寻仇"}.
{23, "ITEM_WAY_ENTOURAGE", "佣兵"}.
{24, "ITEM_WAY_GEM", "宝石"}.
{25, "ITEM_WAY_USE", "使用物品"}.
{26, "ITEM_WAY_INTENSIFY", "强化"}.
{27, "ITEM_WAY_BREAK", "突破"}.
{28, "ITEM_WAY_STAR", "升星"}.
{29, "ITEM_WAY_LEARN_SKILL", "学习技能"}.
{30, "ITEM_WAY_UNLOCK_RUNE", "激活符文"}.
{31, "ITEM_WAY_LOST_ITEM", "遗失之物"}.
{32, "ITEM_WAY_MILITARY", "军衔"}.
{33, "ITEM_WAY_RIDE", "坐骑"}.
{34, "ITEM_WAY_SELL", "出售物品"}.
{35, "ITEM_WAY_SCENE_DROP", "场景掉落物品"}.
{36, "ITEM_WAY_CHAT", "聊天"}.
{37, "ITEM_WAY_CDKEY", "cdkey"}.
{38, "ITEM_WAY_TRIALS", "trials"}.
{39, "ITEM_WAY_ARENA", "竞技场"}.
{40, "ITEM_WAY_WEEK_CARD", "周卡"}.
{41, "ITEM_WAY_MONTH_CARD", "月卡"}.
{42, "ITEM_WAY_RECHARGE", "充值"}.
{43, "ITEM_WAY_FIRST_RECHARGE", "首充翻倍"}.
{44, "ITEM_WAY_ACHIEVE", "成就"}.
{45, "ITEM_WAY_MAIL_ITEM", "邮件"}.
{46, "ITEM_WAY_CHARGE_ACTIVITE", "充值额外奖励"}.
{47, "ITEM_WAY_DART", "押镖"}.
{48, "ITEM_WAY_FIRST_EXTRA_RECHARGE", "首充额外奖励"}.
{49, "ITEM_WAY_COMPOUND_ITEM", "合成装备"}.
{50, "ITEM_WAY_RESOLVE_ITEM", "分解装备"}.
{51, "ITEM_WAY_ONLINE_REWARDS", "在线奖励"}.
{52, "ITEM_WAY_CAMP", "阵营"}.
{53, "ITEM_WAY_VIP_REWARDS", "vip奖励"}.
{54, "ITEM_WAY_EXTEND_EXTRA_RECHARGE", "续充额外奖励"}.
{55, "ITEM_WAY_ITEM_DRAW", "符文抽取"}.
{56, "ITEM_WAY_HERO_DRAW", "英雄抽取"}.
{57, "ITEM_WAY_RELIC_DRAW", "神器抽取"}.
{58, "ITEM_WAY_BACKPACK", "背包"}.
{59, "ITEM_WAY_QUICK_TO_BUY", "快捷购买"}.
{60, "ITEM_WAY_PARAGON_LEVEL", "巅峰等级"}.
{61, "ITEM_WAY_BUY_COIN", "钻石购买金币"}.
{62, "ITEM_WAY_NATIONAL_WAR", "国战"}.
{63, "ITEM_WAY_RECOMMEND_CAMP", "推荐阵营"}.
{64, "ITEM_WAY_GS_REWARDS", "战力大奖"}.
{65, "ITEM_WAY_TURN_CARD", "塔罗牌"}.
{66, "ITEM_WAY_LUCK_WHEEL", "大转盘"}.
{67, "ITEM_WAY_SINGLE_RECHARGE", "单笔充值"}.
{68, "ITEM_WAY_CREATE_GUID", "创建公会"}.
{70, "ITEM_WAY_WAR", "战场收获"}.
